username,country,title,date_watched,percentage_watched,rating
Margaret Rodriguez,Ukraine,"['Dracula' 'Robin Hood: The Rebellion' 'La Reina del Sur'
 'Real Crime: Diamond Geezers' 'AllI Wish' 'Acapulco La vida va'
 'Violet Evergarden']",2020,93,9
John Williams,Syrian Arab Republic,"['Legacies' 'Underworld' 'Cricket Fever: Mumbai Indians' 'The CEO'
 'Alphablocks']",2017,43,6
Laura Espinoza,Heard Island and McDonald Islands,"['Monster High: Why Do Ghouls Fall in Love?' 'Mango Dreams'
 'Doctor Zhivago' 'Disenchantment' 'The Stand at Paxton County'
 'Kevin Hart: What Now?' 'Hasta los dientes' 'Bo Burnham: Inside']",2008,21,7
Gina Salas,Costa Rica,"['The Happytime Murders' 'Khubsoorat' 'Last Chance U: Basketball'
 'The Returned' 'BLAME!' 'Star Trek: The Next Generation' 'Grass'
 'The Flintstones in Viva Rock Vegas']",2022,47,7
Hannah Tanner,Zimbabwe,"['Gnome Alone' 'Mythily Veendum Varunnu' 'One on One' 'Jumping the Broom'
 'H' 'The Witcher: Nightmare of the Wolf' 'Can You Hear Me?']",2010,24,2
Erin Smith,British Virgin Islands,"['The Men Who Stare at Goats' 'Motu Patlu in Hong Kong: Kung Fu Kings 3'
 'D.P.' 'Kabhi Khushi Kabhie Gham' 'Penguin Town' 'Freaks']",2010,70,4
Mary Sanders,Brunei Darussalam,"['Romina' 'Sword Art Online' 'Little Monsters' 'NOVA: Killer Hurricanes'
 'Seven Souls in the Skull Castle: Season Moon Jogen' 'Bewildered Bolbol'
 'C Kkompany' 'Something Huge' 'Kristy']",2002,14,5
Mary Chen,Tonga,"['The Legend of Cocaine Island' 'Luv Shuv Tey Chicken Khurana' 'Gunshot'
 'The Boss Baby: Back in Business' 'GHOUL']",2006,41,6
Kimberly Anderson,Pitcairn Islands,"['Ghost Whispers' 'The Hateful Eight: Extended Version'
 'Sebastian Maniscalco: Stay Hungry' 'The Silence' 'The Speed Cubers'
 'Capital in the Twenty-First Century' 'The Lovers and the Despot'
 'Trailer Park Boys']",2014,6,7
Francisco Wilson,Bermuda,"['Laatu' 'Interrogation' 'Khalnayak' 'Follow This' 'As Good as It Gets'
 'Run' 'Do the Right Thing']",2009,92,10
Lori Ferguson,Bangladesh,"['Marvel Anime: Wolverine' 'Dev.D' 'The Wrong Missy' 'A Silent Voice'
 'Big Fat Liar' 'Colours of Passion']",2000,27,5
Jennifer Kramer,Maldives,"['The Wedding Coach' 'Anjaam' 'The Blazing Sun' 'Disjointed'
 'Naruto the Movie: Ninja Clash in the Land of Snow'
 'Sword Art Online Alternative: Gun Gale Online' 'White Island'
 'A Cinderella Story: Christmas Wish' 'Paradox']",2012,18,10
Jason Garcia,Belize,"['Community' '9' 'Roped' 'Passion. Panache. Pep' 'The Operative'
 ""Pac's Scary Halloween"" 'Joseph: King of Dreams']",2019,12,3
Kevin Faulkner,Netherlands Antilles,"['Hope Springs Eternal' 'They Are Everywhere'
 'Monster High: Great Scarrier Reef'
 'Brotherhood of Blades II: The Infernal Battlefield' 'The Letter Reader'
 'Outer Banks' 'Thi Mai']",2021,37,1
Jason Hill,Maldives,"['A Billion Colour Story' 'Attitude Test' 'My Dog is My Guide'
 'Numero Zero. The Roots of Italian Rap' 'LA Originals' 'Hyena']",2009,98,9
Lori Gay,Bangladesh,"['Littlest Pet Shop: A World of Our Own' 'Maza Pati Karodpati'
 'GODZILLA City on the Edge of Battle'
 'Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese' 'Ujala'
 'Into the Night']",2003,22,2
Kayla Reyes,Saint Martin,"['The Day I lost My Shadow' 'Dinotrux' 'Lara and the Beat' 'I Am Wrath'
 'Keeping the Bees' 'Aliens Stole My Body' ""The King's Avatar""
 'Nura: Rise of the Yokai Clan: Demon Capital']",2022,88,6
Anthony Williamson,Hong Kong,"['Sex Doll' 'Ten Years' 'IZombie'
 'Trailer Park Boys: Out of the Park: Europe' 'CRD' 'Tarzan 2'
 'Article 15']",2014,8,9
Alicia Gallagher DDS,Burkina Faso,"['Æon Flux' 'Sex Doll' 'Unicorn Store' 'LEGENDS OF THE HIDDEN TEMPLE'
 'Amrapali' 'The Twilight Saga: New Moon' 'Across the Universe'
 'The Guernsey Literary and Potato Peel Pie Society'
 'Petta (Telugu Version)']",2002,31,9
Jessica Peters,Thailand,"['Blade Runner: The Final Cut' 'TAU' 'Buddy Thunderstruck'
 'Time Is Illmatic' 'The Duchess']",2019,57,1
Adrian Arellano,Seychelles,"['Trailer Park Boys: Say Goodnight to the Bad Guys'
 'Real Crime: Diamond Geezers' 'Incarnate' 'The Little Hours'
 'Miss Sharon Jones!']",2012,12,2
Jennifer Holt,Anguilla,"['Calico Critters Mini Episodes Clover' 'Monster Island' 'The Captive'
 'Marcella' 'Back to 1989' 'Unit 42' 'Chocolate City: Vegas Strip'
 'Mo Gilligan: Momentum' 'American Woman']",2009,88,8
Eric Moss,Tuvalu,"['Nazi Concentration Camps' 'Club Friday To Be Continued - Friend & Enemy'
 'Tobot Galaxy Detectives' 'Little Singham: Kaal Ka Badla' 'Hart of Dixie'
 'Monster Math Squad']",2011,8,7
Kimberly Reyes,Sweden,"['Self Made: Inspired by the Life of Madam C.J. Walker' 'Minsara Kanavu'
 'The Wrong Babysitter' 'Grizzlies' 'Justin Time'
 'Choked: Paisa Bolta Hai' 'Hip-Hop Evolution'
 'Nobody Speak: Trials of the Free Press']",2011,57,9
Joshua Weiss,British Virgin Islands,"['Modest Heroes: Ponoc Short Films Theatre' 'About Time' 'Love Around'
 'The Call' 'Automata']",2008,68,10
Terry Kim MD,Aruba,"['The Next Step' 'Who Would You Take to a Deserted Island?'
 'Albert Pinto Ko Gussa Kyun Aata Hai?' 'I Hate Luv Storys'
 'Lessons from a School Shooting: Notes from Dunblane' 'Tramps'
 'So Not Worth It']",2005,94,10
Ashley Ortiz,Czech Republic,"['A Very Secret Service' 'Motichoor Chaknachoor' 'Strongest Deliveryman'
 'Kicko & Super Speedo' 'Oprah Presents When They See Us Now'
 'Amy Tan: Unintended Memoir' 'Haseen Dillruba' 'Little Singham in London'
 'Merry Men 2: Another Mission']",2017,17,3
Jeremy Chen,Isle of Man,"['America: The Motion Picture' 'Jim Jefferies: Intolerant' 'Rahasya'
 'Indian Matchmaking' 'Hunters of the South Seas' 'Kis Kisko Pyaar Karoon'
 'Barah Aana' 'Justice']",2002,76,5
Ernest Price,Colombia,"['Hans Teeuwen: Real Rancour' 'Eddie Murphy: Delirious'
 'Scooby-Doo on Zombie Island'
 'Marvel & ESPN Films Present: 1 of 1: Genesis'
 'Sam Kinison: The Scream Continues'
 'SHOT! The Psycho-Spiritual Mantra of Rock']",2010,30,1
Joshua Foley,Philippines,"['The Bling Ring' 'Love (ft. Marriage and Divorce)'
 'Jack and the Cuckoo-Clock Heart' 'Mile 22' 'Diablero'
 'Raiders!: The Story of the Greatest Fan Film Ever Made']",2002,23,9
Raymond Pearson,New Zealand,"['Age of Rebellion' 'Santa Banta Pvt Ltd' 'Fireman Sam'
 'Lucas Brothers: On Drugs' 'Secrets of Underground London' 'Last Breath'
 'Suburra: Blood on Rome' 'The Minions of Midas']",2002,36,7
Adriana Scott,Guyana,"['Nail Bomber: Manhunt' 'The Mystic River' 'The Hundred-Foot Journey'
 'Sid the Science Kid' 'Longmire' 'Chelsea Peretti: One of the Greats'
 'Simon Amstell: Set Free']",2007,23,1
Veronica Hansen,Afghanistan,"['Frat Star' 'Gie' 'Last Flight to Abuja' 'The Sweetest Thing'
 'Queen of the Desert' 'Maradona in Mexico' 'Chief Daddy' ""'89""]",2018,6,9
Nicholas Barnes,Montenegro,"['Chris Brown: Welcome to My Life' 'The Blue Elephant 2'
 'Exclusive Edition' 'Lo más sencillo es complicarlo todo' 'Elevator Baby'
 'You Are My Spring' ""Creating The Queen's Gambit""]",2008,90,9
Sara Fletcher,Serbia,"['The Man Without Gravity' 'Why Did You Kill Me?' 'Capitani'
 'Beyblade: Metal Fusion' 'The Mist' 'Familiye']",2019,57,10
Amanda Lee,Faroe Islands,"['Team Kaylie' 'The Incredible Jessica James'
 'Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón'
 '17 Again' 'The Island' 'Cloverfield']",2015,83,6
Scott Berger,Congo,"['Pad Man' 'Be Here Now' 'The Promised Neverland' 'Graceful Friends'
 'American Anarchist' 'Canvas']",2014,40,1
Chad Mitchell,Cuba,"['Force 2' 'Despite Everything' 'Singles Villa' 'V for Vendetta'
 'Spotlight' 'Metallica Through The Never']",2005,54,1
Rhonda Irwin,Cayman Islands,"['Simon Killer' 'Freeway: Crack in the System' 'I Hate Luv Storys'
 'HERO MASK' 'Barbie Princess Adventure' 'Khotey Sikkey' 'Disjointed'
 'Doctor Foster' 'Pokémon Journeys: The Series']",2022,21,6
Darren Howard,Palau,"['Gour Hari Dastaan: The Freedom File' 'American Experience: The Circus'
 'Michael McIntyre: Showman' 'The Queen of Flow' 'Navarasa'
 'Maps to the Stars' 'A Champion Heart' ""In Our Mothers' Gardens""]",2021,68,2
Melissa Scott,Portugal,"['100 Meters' 'What Lies Beneath' 'The Staircase' 'Broadchurch'
 'Glitch Techs' 'What Would Sophia Loren Do?' 'Terrifier' 'Raat Akeli Hai']",2004,77,6
Katherine Martinez,Pakistan,"['My Mister' 'Occupied' ""Who's the One"" 'Jumping Girl'
 'Taylor Swift reputation Stadium Tour']",2003,38,4
Jacob Tucker,Luxembourg,"['Zion' 'Lusers' 'Club Friday The Series 7' 'Me and the Alien'
 'Nadiya’s Time to Eat' 'EDENS ZERO' 'Krish Trish and Baltiboy: Part II'
 'The Trigger Effect']",2019,91,9
Stephanie Watkins,Estonia,"['My Girl 2' 'A Sort of Family' 'Do the Right Thing' 'The Old Guard'
 'My Stupid Boss' 'English Babu Desi Mem' 'Dogs' 'Soundtrack']",2012,46,9
Alexandria Cruz,Svalbard & Jan Mayen Islands,"['Spider-Man: Into the Spider-Verse' 'Life Story' 'Heroine'
 'Evan Almighty' 'Mune: Guardian of the Moon'
 'Motu Patlu in Hong Kong: Kung Fu Kings 3'
 'Radical: the Controversial Saga of Dada Figueiredo' 'Shikara'
 'Baadshaho']",2018,86,2
William Price,Bhutan,"['Revenge of the Green Dragons' 'Ankur Arora Murder Case'
 'LEGO Friends: The Power of Friendship' 'Love on Delivery'
 'Children of the Whales' 'Click for Murder']",2014,84,9
Katie Alexander,Wallis and Futuna,"['The Blue Elephant 2' 'We Need to Talk' 'The American'
 ""Julie's Greenroom"" 'Harith Iskander: I Told You So'
 'Lo que la vida me robó']",2019,23,1
Krystal Wade,Liberia,"['Cold Case Files Classic' ""Kevin Hart: I'm a Grown Little Man""
 'A Whisker Away' 'Trio and a Bed' 'Cop Watchers' 'Westside Story'
 'Oh Darling Yeh Hai India']",2009,61,2
Stephen Huffman,Cambodia,"['Raja Hindustani' 'Svaha: The Sixth Finger' 'Superbad' 'Hello Brother'
 'Before I Wake' 'The Lord of the Rings: The Return of the King'
 'Quantico' 'Making a Murderer' 'Twice Upon A Time']",2020,17,4
Dana Chan,Tajikistan,"['All The Bright Places' 'Second 20s' 'Medical Police' 'Kaaliyan'
 'The Outpost' ""Best Wishes, Warmest Regards: A Schitt's Creek Farewell""
 'Hurricane Bianca' 'R.K.Nagar']",2001,45,2
Sean Randolph,Swaziland,"['Avengement' 'Kevin Hart: Don’t F**k This Up' ""Can't Cope, Won't Cope""
 'The Runner' 'Your lie in April' 'DASH & LILY' 'Ragini MMS' 'Junebug'
 'Star Trek: Voyager']",2007,48,9
Tina White,Tajikistan,"['Uncovered' 'Modest Heroes: Ponoc Short Films Theatre' 'Little Boxes'
 'Safe' 'Alexandria: Again and Forever']",2020,80,9
Andrea Morgan,Kyrgyz Republic,"['GEN HOSHINO STADIUM TOUR “POP VIRUS”' 'Shrek the Musical'
 'Chelsea Handler: Uganda Be Kidding Me Live' 'The Beginning of Life'
 'Elite Short Stories: Guzmán Caye Rebe']",2001,62,5
Patricia Mora,Tuvalu,"['Busted!' 'Power Rangers Dino Fury' 'Mahabharat'
 'Tini: The New Life of Violetta' 'Return To The 36th Chamber']",2002,74,5
Jeffrey Sellers,Saint Lucia,"['I Am the Pretty Thing That Lives in the House' 'Greenhouse Academy'
 'Fear Street Part 1: 1994' 'Abyss' 'Saaho' 'Cloudburst' 'Lupin']",2022,90,6
Laura Barron,Northern Mariana Islands,"['Fartsa' 'Chilling Adventures of Sabrina' 'Arthur Christmas' 'Omniscient'
 'Dedemin Fisi' 'Very Big Shot']",2008,48,9
Michael Welch,Russian Federation,"['Northern Rescue' 'The Haunted Hathaways' 'Mom'
 'Wave of Cinema: Filosofi Kopi' 'The Fix']",2013,50,7
Kevin Robinson,Guadeloupe,"['Dilwale' 'Sei' 'Oprah Presents When They See Us Now'
 'Muzaffarnagar Baaqi Hai' 'How to Get Over a Breakup' 'Giri / Haji'
 'Thackeray (Marathi)' 'April and the Extraordinary World'
 'Donald Glover: Weirdo']",2019,13,4
Robert Miller,Puerto Rico,"[""Zumbo's Just Desserts"" 'Mango Dreams' 'Wrong No.' 'Patria'
 'Rhyme Time Town Singalongs']",2022,67,4
Gerald Maynard,Mauritius,"['Butterfield 8' 'Kia and Cosmos' ""Quam's Money"" 'The Paper Tigers'
 'Dead Kids']",2010,6,1
Katie Martin,Singapore,"['Hajwala 2: Mysterious Mission' 'Cinta 100KG' 'Leo the Lion'
 'To All the Boys: Always and Forever - The Afterparty' 'The Long Riders'
 'Time: The Kalief Browder Story' 'Bad Rap']",2000,19,3
Brandy Brown,Ireland,"['The Similars' 'LEGO: Marvel Super Heroes: Maximum Overload' 'I Am Sam'
 'The Toys That Made Us' 'License to Drill: Louisiana']",2015,59,2
Sarah Gordon,Sudan,"['The Misadventures of Hedi and Cokeman' 'The Grandmaster'
 'Kabhi Alvida Naa Kehna' 'Chhota Bheem' 'Los Niños Héroes de Chapultepec'
 'The Babysitter' 'Miss Stevens' 'The Ballad of Buster Scruggs'
 'Alex Fernández: The Best Comedian in the World']",2007,16,7
Timothy Oneal,Guatemala,"['Balu Mahi' 'The Student Cop' 'Tom Segura: Disgraceful'
 'Noddy Toyland Detective' 'Mobile Suit Gundam Hathaway' 'Pelé'
 'Romance Doll']",2020,1,6
Aaron Smith,Brunei Darussalam,"['THE STRANGER' 'The Prince Who Turns into a Frog' '13 Reasons Why'
 'Saving Mr. Banks' 'Father Brown']",2013,97,10
Douglas Thomas,Egypt,"['The Legend of Bruce Lee' 'Neo Yokio' 'Tig Notaro Happy To Be Here'
 'Castlevania' 'Seven (Telugu)' 'Space Racers' 'Dexter' 'Cat People'
 'OCTB']",2003,54,2
Ryan Davis,Luxembourg,"['Parker' 'Kaabil' 'We Can Be Heroes' 'Nagi-Asu: A Lull in the Sea'
 'Black Summer' 'The Reservoir Game' 'The Bride of Habaek']",2005,41,10
Meredith Edwards,Finland,"['Solo' 'How I Became a Superhero' 'Anchor Baby' 'The Liberator'
 'Underworld: Rise of the Lycans' 'Do Dooni Chaar']",2022,95,7
Eric Reynolds,Vanuatu,"['Django Unchained' 'Mujrim' 'Donald Glover: Weirdo' ""Chef's Table""
 'Beyblade Burst Evolution' 'Bolívar' 'WWII in HD']",2003,59,8
Tara Phillips,Western Sahara,"['Sat Shri Akaal England' 'The Runner' 'Hattrick'
 'Chhota Bheem and The ShiNobi Secret' 'Selection Day' 'Winter Sun'
 'Justine' 'Home Game']",2021,52,9
David Anderson,Greenland,"['The Chosen Ones' 'Harith Iskander: I Told You So' 'Club of Crows'
 'Alone in Berlin' 'Good Kids']",2018,25,3
Susan Aguirre,Niger,"['Hükümet Kadin' 'Misaeng' 'An Evening with Beverly Luff Linn'
 'Girls Incarcerated' 'Born Beautiful' 'Whose Streets?']",2001,85,4
Joseph Edwards,Guernsey,"['The Haunting of Bly Manor' 'Head Count' 'Laws of Attraction'
 'White Rabbit Project' 'Same Kind of Different as Me' 'InuYasha'
 'What Keeps You Alive' 'May the Devil Take You'
 'It Takes a Man and a Woman']",2014,96,1
Victor Norris,Libyan Arab Jamahiriya,"['Bad Trip' 'Yanxi Palace: Princess Adventures' ""Dad's Army""
 'Ray Romano: Right Here, Around the Corner' 'The Creative Indians']",2002,34,8
James Montoya,Kazakhstan,"['Sur Sapata' 'Jhansi Ki Rani' 'The Assassination of Gianni Versace'
 'Beauty and the Bitches' 'Young Royals' 'Little Sister' ""You've Got This""]",2017,27,9
Elizabeth Santiago,Nicaragua,"['Dragonheart: Vengeance' 'Rotten' 'Kaali Khuhi' 'Holiday in the Wild'
 'The Dealer' 'Rafinha Bastos: Ultimatum']",2021,14,2
Andrew Crane,Marshall Islands,"['Ezel' 'Cinema Bandi' '\u200bSAINT SEIYA: Knights of the Zodiac' 'Tunnel'
 'Love Rhythms - Accidental Daddy' 'Demetri Martin: The Overthinker'
 'Namak Halaal' 'Blue Ruin']",2021,59,10
Jennifer Haynes,Congo,"['The Arbitration' 'Home: Adventures with Tip & Oh' 'Love for Sale 2'
 'Holidays' 'A House of Blocks' 'The Frankenstein Chronicles'
 'Season of the Witch' 'June & Kopi'
 'Austin Powers: The Spy Who Shagged Me']",2012,97,2
Daniel Miller,Lesotho,"['Jailbirds' 'Vampires' 'Eyyvah Eyyvah 2' 'LeapFrog: Letter Factory'
 'Chef & My Fridge' 'Long Shot' 'Memory Games' 'Mossad 101' 'Just Love']",2018,61,10
Mary Thomas,Honduras,"['Recall' 'Power Rangers Dino Thunder' 'Hantu Kak Limah' 'Zubaan'
 'Pet Stars' ""Grey's Anatomy"" 'In the Cut' 'In Paradox' 'Players']",2022,80,8
Claire Newman,Martinique,"['Dude' 'The Last Face' 'Anesthesia' 'The Little Hours' 'Act of Vengeance'
 'Pandigai' 'Inglourious Basterds' '\u200bMaj Rati \u200b\u200bKeteki']",2004,21,2
Joseph Sellers,Indonesia,"['Baazaar' 'Pizza, birra, faso' 'Phantom Boy' ""My Sister's Keeper""
 'The Saint' 'Hotel for Dogs' 'Kings'
 'Beak & Brain: Genius Birds From Down Under']",2005,23,3
Rodney Johnson,Fiji,"['The Ring' 'Jackie: A Tale of Two Sisters' 'Horror Homes' 'Kuromukuro'
 'Mike Epps: Only One Mike']",2001,31,8
Curtis Williams,Honduras,"['Dirty John' 'Matichya Chuli' 'American Heist' 'Mahjong Heroes' 'The App'
 'Carol' 'Demonic' 'Dead Again in Tombstone' 'The After Party']",2007,17,8
Leslie Petty,Jersey,"['Bill Nye Saves the World' 'The Cloverfield Paradox'
 'Chatô: The King of Brazil' 'Prank Encounters'
 ""Marvel's Iron Man & Hulk: Heroes United"" 'Bogda' 'A House of Blocks']",2017,100,7
Dr. Holly Freeman,Guadeloupe,"['An American Tail' ""Kings of Jo'Burg"" 'Reaction' 'Hello Brother'
 'Motu Patlu in the City of Gold']",2005,100,8
Barbara Spencer,Qatar,"['Sol Levante' 'Untold: Deal With the Devil' 'Remember' 'Drunk Parents'
 'Damnation' 'Operation Ouch!']",2021,93,6
Kenneth Lewis,Reunion,"['Gosford Park' 'Taare Zameen Par' 'Fractured' 'Despite Everything' '187'
 'The Creative Indians']",2004,48,6
Benjamin Frey,Korea,"[""Dr. Seuss' The Grinch"" 'The Wrong Babysitter' 'Ingobernable' 'Rezeta'
 'Hollywood' 'Pioneers: First Women Filmmakers*' ""Liar's Dice""
 'The Legend of Bhagat Singh']",2011,93,10
Kyle Gilmore,Uzbekistan,"['Dead in a Week (Or Your Money Back)' 'Love Around' 'Mantra'
 'Penguins of Madagascar: The Movie' 'The Professor and the Madman']",2020,71,7
Stacey Carroll,Saint Barthelemy,"['The Disciple' 'Wandering Stars' 'Abby Hatcher' 'Lost in London'
 'Y Tu Mamá También' 'Elite Short Stories: Omar Ander Alexis' 'Croupier'
 '3 Heroines' 'Weeds']",2007,12,2
Christopher Robinson,Portugal,"['Angel Beats!' 'Midnight Run' 'The Life of David Gale' 'Reality of Dream'
 'Mexicanos de Bronce' 'The 43' 'Interview with a Serial Killer']",2006,58,2
Ryan Bryant,Saint Barthelemy,"['Maggie & Bianca: Fashion Friends' 'M8 - When Death Rescues Life'
 'Crazy Ex-Girlfriend' ""Don't Crack Under Pressure"" 'Fun Mom Dinner'
 'Yu-Gi-Oh! Arc-V' 'Main aurr Mrs. Khanna' 'Palazuelos mi rey'
 'The Free Man']",2009,72,4
Teresa Rodriguez,Antarctica (the territory South of 60 deg S),"[""ReMastered: The Lion's Share"" 'Love and Fortune' 'The Magic Pill'
 'Tigertail' 'Richie Rich' 'Luna Petunia: Return to Amazia' 'PhotoCopy'
 'XXx']",2001,74,7
Kevin Long,Saint Martin,"['The Woods' 'Stunt Science' 'Dorasaani' 'Killer Klowns from Outer Space'
 'Gender Revolution: A Journey with Katie Couric' 'Hustle & Flow'
 'Period. End of Sentence.']",2010,55,6
Kristina Green DDS,Angola,"['Party Monster: Scratching the Surface' 'Rake' 'What Is Love?'
 'Sin senos no hay paraíso' 'She' 'The House of Flowers: The Movie'
 'Ne Zha' 'The Walls of the Moon']",2009,17,5
Reginald Villanueva,Ethiopia,"['Cupcake & Dino - General Services' ""The Chefs' Line"" 'Helix'
 'Mrs. Serial Killer' 'Hadi İnşallah']",2020,19,9
Sherry Brown,Uzbekistan,"['Barry' 'The Resistance Banker' 'Dangerous Lies'
 'DreamWorks How to Train Your Dragon Legends' 'Naked' 'Grease']",2005,64,2
Joel Robinson,Jamaica,"['Sabotage' 'Chronically Metropolitan'
 'Larry the Cable Guy: Remain Seated' 'Monster' 'Nicky Jam: El Ganador'
 'Zokkomon' 'LeapFrog: Numberland' 'Heidi' 'ID-0']",2022,0,8
Virginia Nunez,Netherlands,"['The Last Mercenary' 'SWORDGAI The Animation' 'Rise of Empires: Ottoman'
 'The Repair Shop' 'Pareeth Pandaari' 'Isa Pa with Feelings']",2008,68,7
Jennifer Edwards,Romania,"['Pope Francis: A Man of His Word'
 'The Body Remembers When the World Broke Open'
 'Iron Man: Armored Adventures' 'New Girl' 'The Royal House of Windsor']",2014,53,1
Scott Berg,Senegal,"['Refugee'
 'Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home'
 'Word Party Songs' 'Juanita' 'Mi Shivajiraje Bhosale Boltoy'
 'The Challenge' 'Hot Property' 'Cam']",2000,30,3
Terry Walsh,Estonia,"['Honeymoon Travels Pvt. Ltd.' 'Alma Matters' 'Mommy Issues'
 'My Step Dad: The Hippie' 'What the Jatt!!' 'The Barrier']",2007,31,1
Jacqueline Rivera,Hong Kong,"['Hide and Seek' 'The Witch: Part 1 - The Subversion'
 'True Memoirs of an International Assassin' 'Match' 'Crazy Ex-Girlfriend'
 'Lionheart' 'Juana Inés' 'Ram Dass, Going Home'
 'Lavell Crawford: Can a Brother Get Some Love?']",2000,66,8
Joshua Johnson,Sao Tome and Principe,"['Duck Duck Goose' 'Life on Location' 'Hoff the Record' 'Last Chance U'
 'One on One' 'Good Hair' 'Paranormal Survivor']",2019,52,10
Michael Watson,Croatia,"['Shiva: The Secret World Of Vedas City' 'Derren Brown: The Push'
 'Ghost Rider' 'Steel Rain' 'American Crime' 'Sing On!' '14 Blades'
 'Mike Birbiglia: The New One' 'Backtrack']",2021,0,8
Annette Carr,Jersey,"['A Yellow Bird' 'Off Camera' 'Berlin Kaplani' 'The Tigers of Scotland'
 'Crime Stories: India Detectives' 'PNL - Dans la légende tour']",2013,48,2
Paul Velasquez,Qatar,"['Inside the World’s Toughest Prisons' 'Blood & Treasures' 'Dismissed'
 'NOVA: Decoding the Weather Machine' 'Growing Up Coy'
 'Ultramarine Magmell' 'Chasing the Dragon'
 'InuYasha the Movie 2: The Castle Beyond the Looking Glass']",2003,74,2
Edward Rivera,Niue,"['Hajwala: The Missing Engine' 'Nasha Natasha' 'Three-Quarters Decent'
 ""I Don't Know How She Does It"" 'Haraamkhor' 'Clinical' 'Glitter Force']",2002,22,10
Julie Green,Honduras,"['Ezel' 'Bad Boys' 'Mission Istaanbul: Darr Ke Aagey Jeet Hai'
 ""The King's Speech"" 'Not a Game' 'Beasts of No Nation' 'Monsoon'
 'Live Twice, Love Once' '20 Feet From Stardom']",2012,46,1
Monica Jones,Korea,"['Dad' 'Girl' 'Afonso Padilha: Classless' 'Road Trip: Beer Pong'
 'Behind Her Eyes' 'Cycle' 'Talking Tom and Friends']",2006,57,7
Adam Hall,Guinea,"['Secret Affair' 'WHAT / IF' ""Kuldip Patwal: I Didn't Do It!""
 'The Night Comes for Us' 'Must Be... Love' 'Sirius the Jaeger'
 'The Intent']",2017,87,4
Christina Thompson,Zimbabwe,"['Spivak' 'Felipe Esparza: Bad Decisions' 'Circus of Books'
 'The Foreigner' 'The House Next Door']",2011,2,9
Jackie Molina,Swaziland,"['Spiritual House' 'The Players' 'Red Christmas' 'Power Battle Watch Car'
 'The Ballad of Buster Scruggs' 'Ralphie May: Imperfectly Yours'
 'Shaka Zulu']",2018,13,3
Brandy Ellis,Puerto Rico,"['Aadu 2' 'Vodka Diaries' 'Revenge'
 'Harold and Lillian: A Hollywood Love Story' 'Leap!'
 'The House of Flowers']",2006,64,2
Allison Valencia,Maldives,"['Detention' ""Brooklyn's Finest"" 'Run' 'Righteous Kill'
 'The Witcher: A Look Inside the Episodes']",2008,71,10
Christina Thompson,Western Sahara,"['Hostage to the Devil' 'Cuba and the Cameraman' 'The Indian Detective'
 'IZombie' 'Doctor Zhivago']",2014,83,5
Shane Duke,Uzbekistan,"['Thomas & Friends: Marvelous Machinery: World of Tomorrow'
 'Joe Rogan: Triggered' 'The Art of Loving' 'Click for Murder'
 ""America's Next Top Model"" 'Chris Tucker Live' 'The School of Mischief']",2007,51,1
Emily Brown,Netherlands Antilles,['Coffee for All' 'Herrens veje' 'Barry' 'Catch.er' 'Belmonte'],2015,85,10
Douglas Juarez,Estonia,"['Firebrand' 'Barney and Friends' 'Sinister 2'
 ""Agatha Christie's Crooked House"" 'Feo pero sabroso' 'To Be a Miss']",2021,68,3
Juan Casey,Norfolk Island,"['It Takes a Lunatic' '72 Cutest Animals' 'Nasha'
 'Houston, We Have a Problem!' 'The Ballad of Lefty Brown']",2002,1,3
Terry Curtis,Tuvalu,"['The Epic Tales of Captain Underpants' 'Get the Grift' 'The Blazing Sun'
 'Mustang Island' 'Faraar']",2017,37,4
Anthony Miller,Hong Kong,"['Planetarium' 'Oh Darling Yeh Hai India' 'Dynasty'
 ""She's Out of My League"" 'Record of Grancrest War' '60 Days In'
 'Earth and Blood' 'Tremors 2: Aftershocks'
 'Made You Look: A True Story About Fake Art']",2018,74,3
Michael Neal,Netherlands Antilles,"['We the Animals' 'Tokyo Trial' 'Echcharikkai' 'Rivaaz'
 'Undercover Brother 2' 'V.R. Troopers' 'Game Over' 'When Calls the Heart']",2013,42,6
Erika Leon,Tokelau,"['Danger Mouse' 'When We First Met' 'Spookley and the Christmas Kittens'
 'Rahasya' ""The Queen's Gambit"" 'Zona Rosa' 'The D Train' 'Hinterland'
 'The Mess You Leave Behind']",2004,52,6
Jason Hart,Iraq,"['Flash of Genius' 'My Dead Ex' 'Paharganj' 'All Together Now' 'The Car'
 'The Emigrant']",2008,75,6
Cory Clark,Svalbard & Jan Mayen Islands,"['What Happens to My Family' 'Shark Night' 'Freedom at Midnight' 'Misfit'
 'Derren Brown: Sacrifice' 'Brews Brothers' 'Ee Nagaraniki Emaindi'
 'ViR: The Robot Boy' 'Bureau of Magical Things']",2002,97,3
Melinda Cox,Malawi,"['Getaway Plan' 'Wartime Portraits' 'The Disaster Artist'
 'And Breathe Normally' 'Mean Streets' 'Friday Night Lights']",2013,94,10
Nicole Lopez,Cuba,"['Northern Rescue' 'Call My Agent!'
 'My Little Pony Equestria Girls: Friendship Games' 'Phantom Boy'
 'The Devil Punisher']",2010,92,9
